Product Name,Category,SKU,Model,Price,Quantity,Description,Image
"Oraimo 10W Wall Charger Kit OCW-1111U+L53 (Lightning cable, Black)",Charges & Cables,JNE-OCW1111U-792,OCW-1111U+L53,8694,10,"Specifications
Input
100-240V 50-60Hz
Output
5V⎓2A
Cable
Lightning
Product Features
Compact Size Anti-sweat & Fingerprints Multi-protection System",
Oraimo OCW-1112U+C53 Compact Wall Charger Kit,Charges & Cables,JNE-OCW112UM-858,OCW-112UM/1113UM,8694,10,Product SpecificationsBrand: OraimoModel Variants: OCW-112UM / OCW-1113UMPlug Type: UK Standard (3-Pin)Cable Type: Micro-USBColor: Glossy White / Matte BlackMaterial: Fireproof PC + ABS,
oraimo PowerCube 10 Sleek 10W Wall Charger Kit (OCW-1113UC),Charges & Cables,JNE-OCW1113U-658,OCW-1113UC,9315,10,"Input    100-240V 50-60Hz
Output    5V 2A
Cable    Micro-USB/Type-C/Lightning
Model    OCW-1111U
Features    Compact Size; Anti-sweat & Fingerprints; Multi-protection System",
Oraimo TECNO Phone Battery BL-5CAR 1150mAh,Batteries,JNE-BL5CAR11-189,BL-5CAR-1150mAh,9315,10,"Product Specifications
Battery Cell Type    Li-ion battery
Capacity    1150mAh",
oraimo RobustLine OCD-114CC 60W Ultra Fast Charge Cable,Charges & Cables,JNE-OCD114CC-704,OCD-114CC,9936,10,"Type: Type-C to Type-C;
Length: 1.5m;
Output: 20V⎓3A; 15V⎓3A; 9V⎓3A; 5V⎓3A",
oraimo RobustLine OCD-114CL Cable (Built To Last Longer),Charges & Cables,JNE-OCD114CL-532,OCD-114CL,12420,10,"Type: Type-C to Lightning;
Length: 1m;
Output: 5V⎓3A, 9V⎓3A, 15V⎓2A",
oraimo Duraline 4 3-in-1 Charging Cable (OCD-118MCL),Charges & Cables,JNE-OCD118MC-132,OCD-118MCL,9936,10,"Description
Product Parameters:
TYPE: USB-A to Type-C & Lightning &Micro-USB

Type-C: 3A ,60W Max
Lightning: 2.4A，12W Max
Micro-USB: 2.4A，12W Max
Transfer rate:
Type-C: Up to 480Mbps
Input: USB A
Output: Type C & Lightning & Micro-USB
Length：1.2M",
Oraimo OCC-1152D Car Charger with Cable,Charges & Cables,JNE-OCC1152D-130,OCC-1152D,11799,20,"Description
Product Parameters:

Input: DC 12~24V

Output 1(USB-A): 5V/3.1A

Output 2(USB-A): 5V/3.1A

Total Output: 15.5W

Model: OCC-1152D

Product Features:

Dual USB Output

LED Light Ring

Sleek Black Casing

Multi-protection",
Oraimo Cannon 18S 18W Type-C Wall Charger Kit (OCW-5184U+C53),Charges & Cables,JNE-OCW5184U-195,OCW-5184U+C53,13662,10,"Stable 18W Fast Charging – Rapid and consistent power delivery

AniFast™ Technology – Advanced tech for faster and more efficient charging

Smart Temperature Management – Prevents overheating for safe operation

Smart Control – Built-in protection against over-current, over-voltage, and short circuits

Protocol Detection – Automatically adjusts to QC3.0 and PE2.0 for optimal speed

Charging Indicator Light – Shows real-time charging status

🧳 Design & Convenience

Lightweight & Portable – Easy to carry, ideal for travel

Safe Charging System – Multi-layer protection ensures device and user safety

Includes USB-C Cable – Full compatibility with modern Type-C devices",
Oraimo OCC-1152D+X93 Car Charger With Cable,Charges & Cables,JNE-OCC1152D-323,OCC-1152D+X93,18009,10,"Description
Product Parameters:

Car Charger:

Input: DC 12~24V

Output 1(USB-A): 5V/3.1A

Output 2(USB-A): 5V/3.1A

Total Output: 15.5W

Cable:

Type: A to Micro-USB/Type-C/Lightning 3 in 1

Output: 5V 3A

Length: 1.2m

Model: OCC-1152D-X93

Product Features:

Dual USB Output

LED Light Ring

Sleek Black Casing

Multi-protection",
oraimo PowerFlow B11 15W Type-C Fast Charging Power Bank (OPB-1102),Power Banks,JNE-OPB1102G-338,OPB-1102 GRAPHITE GREY,37260,10,"Description
Specification

Details

Brand

Oraimo

Model

PowerFlow B11 (OPB-1102)

Product Type

Fast Charging Power Bank

Battery Capacity

10000mAh (37Wh)

Input Port

USB Type-C

Output Ports

2 × USB-A, 1 × USB Type-C

Maximum Output

Up to 15W

Total Output

15W Max

USB Type-C Input

5V⎓3A (Up to 15W)

USB-A Output

5V⎓3A (Up to 15W) ×2

USB Type-C Output

5V⎓3A (Up to 15W)

Charging Technology

AniFast Fast Charging

Multi-Device Charging

Charge Up to 3 Devices Simultaneously

Protection

15-Layer Smart Protection System (Overheating, Overcharging & Short Circuit Protection)

Compatibility

Smartphones, Tablets, Earbuds & Other USB Devices

Suitable For

Everyday Fast Charging & Travel",
oraimo Boulevard 18W Car Charger with FM/Bluetooth Modulator (OCC-32D),Charges & Cables,JNE-OCC32D-617,OCC-32D,43470,3,"Description
Product Parameters:

Input: DC 12~24V
Output1 USB-A: 5V/0.5A
Output2 USB-A: 5V/3A. 9V/2A. 12V/1.5A
FM Frequency: 87.5MHz~108.0 MHz
FM TX Frequency: 3m
Available Distance: 5m
Supported Formats: MP3/WMA/APE/WAV/FLAC
Supported USB Flash Drive/TF Card Capacity: 32G

Model: OCC-32D",
"oraimo PowerOmni 251 Portable Charger (OCW-T01, Black)",Charges & Cables,JNE-OCWT01BL-716,OCW-T01 Black,37260,10,"PowerOmni 251-0CW-T01(Travel Adapter)
Gross Power: 10A 2500W Max; Input: 100-250~50/60Hz; Fuse Rating: 10A Max
Size: L50.0*W55.5*H54.3mm",
"oraimo PowerOmni 251 Portable Charger (OCW-T01, White)",Charges & Cables,JNE-OCWT01WH-127,OCW-T01 White,37260,10,"PowerOmni 251-0CW-T01(Travel Adapter)
Gross Power: 10A 2500W Max; Input: 100-250~50/60Hz; Fuse Rating: 10A Max
Size: L50.0*W55.5*H54.3mm",
"oraimo Slice Link 10000mAh Power Bank, 3 Built-in Cables (OPB-P5101)",Power Banks,JNE-OPBP5101-674,OPB-P5101,40986,10,"SPECS
Capacity: 10000mAh (37Wh)
Input 1 Micro:5V 2A
Input 2 Type-C: 5V 2A
Output USB-A : 5V 2.4A(Max)
Output Micro Cable/Type-C Cable:
5V 2.1A",
"oraimo Necklace Lite Earbuds (OEB-311, Light Gold)",Headphones & Earbuds,JNE-OEB311LI-303,OEB-311 LightGold,43470,10,"SPECS
Bluetooth Version: V5.3
Bluetooth Range: 10m
Battery Capacity: 220mAh
Playtime: Up to 30 hours
Case Input: Type-C
Model: OEB-311",
"oraimo Toast 15 Flash 10000mAh Power Bank (OPB-1100D, Light Gold)",Power Banks,JNE-OPB1100D-833,OPB-1100D LIGH GOLD,40986,10,"SPECS
Capacity: 10000mAh (37 Wh)
Input 1(Micro-USB): 5V/2A
Input 2(Type-C): 5V/3A
Output 1(USB-A)：5V/3A(Max)
Output 2(USB-A)：5V/3A(Max)
 Output 3(Type-C)：5V/3A(Max)
Total Output: 5V/3A (Max)",
"oraimo Toast 15 Flash 10000mAh Power Bank (OPB-1100D, Black)",Power Banks,JNE-OPB1100D-765,OPB-1100D Black,40986,10,"SPECS
Capacity: 10000mAh (37 Wh)
Input 1(Micro-USB): 5V/2A
Input 2(Type-C): 5V/3A
Output 1(USB-A)：5V/3A(Max)
Output 2(USB-A)：5V/3A(Max)
 Output 3(Type-C)：5V/3A(Max)
Total Output: 5V/3A (Max)",
"oraimo Necklace Lite Earbuds (OEB-311, Black)",Headphones & Earbuds,JNE-OEB311BL-818,OEB-311 BLACK,43470,10,"SPECS
Bluetooth Version: V5.3
Bluetooth Range: 10m
Battery Capacity: 220mAh
Playtime: Up to 30 hours
Case Input: Type-C
Model: OEB-311",
"oraimo Necklace Lite Earbuds (OEB-311, Mysterious Blue)",Headphones & Earbuds,JNE-OEB311MY-658,OEB-311 MYSTERIOUS BLUE,43470,10,"SPECS
Bluetooth Version: V5.3
Bluetooth Range: 10m
Battery Capacity: 220mAh
Playtime: Up to 30 hours
Case Input: Type-C
Model: OEB-311",
"oraimo SpaceBuds Lite Earbuds (OTW-324, Speed Black)",Headphones & Earbuds,JNE-OTW324SP-529,OTW-324 Speed Black,45954,10,"SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime: Up to 7 hours; the case provides
additional 33 hours.
Case Input: Type-C
*oraimo Lab test results",
"oraimo SpaceBuds Neo Earbuds (OTW-323, Black)",Headphones & Earbuds,JNE-OTW323BL-325,OTW-323 BLACK,47196,10,"SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 5 hours, the case provides additional 25 hours
Case Input:  Type-C
*oraimo Lab test results",
oraimo SpaceBuds Air Earbuds (OTW-324S),Headphones & Earbuds,JNE-OTW324S-559,OTW-324S,47196,10,"SpaceBuds AirOTW-324S (True Wireless Earbuds)
Bluetooth Version: V5.4
Range: 10m
Playtime: Up to 6.5 hours; the case provides additional 31.5 hours
Case Input: Type-C",
"oraimo SpaceBuds Neo Earbuds (OTW-323, Black)",Headphones & Earbuds,JNE-OTW323MY-703,OTW-323 Mysterious Blue,47196,10,"SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 5 hours, the case provides additional 25 hours
Case Input:  Type-C
*oraimo Lab test results",
Oraimo OCC-7691D Car Charger (Chrome),Charges & Cables,JNE-OCC7691D-384,OCC-7691D CHROME,49680,10,"Description
Product Parameters:
Model: OCC-7691D
Input: DC 12-24V
Output 1(Type-C): 5V⎓3A; 9V⎓3A; 12V⎓3A; 5-11V⎓3.0A; 36W Max
Output 2(USB-A): 5V⎓3A; 9V⎓2A; 12V⎓1.5A; 10V⎓2.25A; 5-12V⎓3.3A; 33W Max;
Output 1(Type-C)+ Output 2(USB-A): 69W Max",
oraimo SmartLamp Table 5W Table Lamp,Smart Lighting,JNE-ODL202A-928,ODL-202A,49680,10,"Description
Product Parameters:
Input: 5V 2A

Rated Power: 5W

Battery Capacity: 2000mAh",
"oraimo Wireless Earbuds (OTW-330S, Black)",Headphones & Earbuds,JNE-OTW330SB-990,OTW-330S BLACK,55890,10,"oraimo FreePods Neo true wireless earbuds (OTW-330S) - Bluetooth 5.3, half-in-ear fit, 12.4mm drivers, 6-mic ENC for calls, Sound360 spatial audio, up to 50 hours total playtime (7h buds + 43h case), AniFast fast charge, IPX4 water resistance.",
"oraimo Watch 5 Lite Smartwatch (OSW-804, Black)",Smart Watches,JNE-OSW804BL-106,OSW-804 BLACK,62100,10,"oraimo Watch 5 Lite smartwatch (OSW-804) - 2.01"" TFT display (240x296), Bluetooth 5.3, PC+ABS body, 300mAh lithium-polymer battery (about 3-hour charge), up to 7 days typical use / 28+ days standby, IP68 water resistance, 44g weight.",
oraimo SmartClipper Plus Hair Clipper (OCL-210),Personal Care Appliances,JNE-OCL210-877,OCL-210,62100,10,"SPECS
Size    166.7mm*45.2mm*33.5mm
Material    Aluminum alloy+stainless steel
Battery Capacity    18650 3.7V/1200mAh
Charging    DC 5V 2A，Anifast
Vibrate    280 3.0V ;6500RPM
Moving knife adjustment    0.1-2.0mm
Limiting comb    3、6、9、12mm",
"oraimo SpaceBuds Neo+ Earbuds (OTW-323P, Black)",Headphones & Earbuds,JNE-OTW323PB-925,OTW-323P BLACK,64584,10,"SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime:
Up to 5 hours, the case provides additional 25 hours (ANC OFF)
Up to 4 hours, the case provides additional 20 hours (ANC ON)
Case Input: Type-C
*oraimo Lab test results",
oraimo EasyCut Hair Clipper (OCL-230),Personal Care Appliances,JNE-OCL230-263,OCL-230,68310,10,"SPECS
Product Material: PC+ABS
Rated Input:5V=1A
Rated Power: 5W
Charging Time: 3.5 Hours
Full Working Time: 2.5 Hours",
"oraimo Watch 5 Lite Smartwatch (OSW-804, Rose Gold)",Smart Watches,JNE-OSW804RO-814,OSW-804 Rose Gold,62100,10,"SPECS
Display Screen: 2.01 "" TFT 240*296
Wireless Version: V5.3
Material: PC+ABS
Battery Type: Lithium polymer
Battery Capacity: 300mAh
Charging Time: 3 hours
Normal Usage Time: 7 days
Standby Time: More than 28 days
Weight: 44g
Watch Size: 53.6*40.7*12.2mm
Waterproof: IP68
*oraimo Lab test results",
oraimo Traveler 12 Byte Power Bank (OPB-1205N),Power Banks,JNE-OPB1205N-532,OPB-1205N,68310,10,"SPECS
Capacity: 20000mAh (74Wh)
Input 1(Type-C): 5V=2A;
Input 2(Micro-USB): 5V=2A
Output 1(USB-A): 5V= 2.4A
Output 2(USB-A): 5V=2.4A
Output 3(Type-C): 5V=2.4A
Total Output: 5V== 2.4A (Max)",
oraimo SmartLamp Go 4.5W RGB Night Light,Smart Lighting,JNE-ONL501A-448,ONL-501A,68310,10,"Product Material: ABS+PC

Rated Power : 4.5W

Input: 5V/1A

Iuminous Flux: ≥80LM

Color Rendering Index (CRI): ≥80RA

Battery Capacity: 2000mAh

Charge Time: 3.5~4.5h

Working Time:

4~5h(at the brightest status);

≥120h(at the darkest status)

Net Weight: 246g

Model: ONL-501A",
Oraimo OHCS-001 Graphite Black,Charges & Cables,JNE-OHCS001-384,OHCS-001,68310,10,"Description
Product parameters:
Model: OHCS-001
Materials: PP / ABS / Stainless Steel / Microfiber
Product Dimensions: 40 × 13 × 124 cm
Capacity: 420 ml
Package Contents: Spray Mop ×1 / Microfiber Mops ×2 / Reusable Bottle ×1 / Cleaning Brush ×1

*Results of tests from the Oraimo laboratory",
oraimo SleekLine Hair Styling Wand (OPC-HS2N),Personal Care Appliances,JNE-OPCHS2N-259,OPC-HS2N,74520,10,"SPECS
Rated Power: 38W
Rated Frequency: 50-60Hz
Rated Voltage: 100-240V~
*oraimo Lab test result",
oraimo SmartClipper 2C Hair Clipper (OPC-CL30C),Personal Care Appliances,JNE-OPCCL30C-320,OPC-CL30C,80730,10,"SPECS
Size: 195*54*42.5mm
Product Material: PC+ABS
Blade Material: Stainless Steel
Rated Voltage: 5V
Rated Power: 5W
Charging Time: 3.5 Hours
Full Working time: 2.5 Hours",
"oraimo BoomPop Lite Headphones (OHP-317, Black)",Headphones & Earbuds,JNE-OHP317BL-881,OHP-317 BLACK,80730,10,"SPECS
Connectivity: Bluetooth 5.3 and 3.5mm AUX cable

Bluetooth Range: ≥10m

Speaker Diameter: 40mm

Playtime: Up to 65 hours

Charging Port: Type-C

*oraimo Lab test results",
oraimo OML-501A Magnetic Night Light (White),Smart Lighting,JNE-OML501AW-444,OML-501A White,80730,10,"oraimo OML-501A Smart Lamp / magnetic tube RGB light - 12 colour modes, 5-level dimming, 2 colour-temperature settings, magnetic mounting, remote control, up to 18+ hours working time.",
oraimo EasyShave Shaver (ORS-280),Personal Care Appliances,JNE-ORS280-204,ORS-280,80730,10,"SPECS
Input: 5V⎓1A
Rated Power: 5W
Charging Time: 1.5 Hours
Run Time: 1 Hour
Battery Capacity: 800mAh",
"oraimo Watch 5 Smartwatch (OSW-805, Berry Grey)",Smart Watches,JNE-OSW805BE-194,OSW-805 Berry Grey,86940,10,"SPECS
Display Screen: 2.01'' TFT 240*296
Wireless Version: V5.2
Material: ABS/PC/Modified silica gel
Battery Type: Lithium polymer
Battery Capacity: 300mAh
Charging Time: 3 hours
Normal Using Time: 7 days
Standby Time: 30 days
Watch Size: 48*38*10.8mm
Weight: 41.4g
Waterproof: 1ATM
*oraimo Lab test results",
oraimo Watch 5N Smartwatch (OSW-806N),Smart Watches,JNE-OSW806N-489,OSW-806N,86940,10,"SPECS
Display Screen: 2.01 TFT 240*296
BT Version: V5.3
Material: ABS/PC/Silica gel
Battery Capacity: 300mAh
Battery Type: Lithium polymer
Rated Voltage: 5V
Charging Time: 3 hours
Normal Usage Time: 7 days
Standby Time: More than 20 days
Watch Size: 47.8*39.2*10.95mm
Waterproof: IP68",
"oraimo Watch 6 Smartwatch (OSW-807, Chrome)",Smart Watches,JNE-OSW807CH-199,OSW-807 Chrome,86940,10,"oraimo Watch 6 smartwatch (OSW-807) - 2.04"" TFT display, Bluetooth 5.3, ABS/PC/zinc-alloy body, 300mAh lithium-polymer battery (about 3-hour charge), up to 8 days typical use / 33+ days standby, IP68 water resistance.",
"oraimo BoomPop Lite Headphones (OHP-317, Black)",Headphones & Earbuds,JNE-OHP317LG-467,OHP-317 Lght Gold,86940,10,"oraimo BoomPop Lite Headphones (OHP-317, Black) — Endless beats all day long boompop lite. SPECS
Connectivity: Bluetooth 5.3 and 3.5mm AUX cable

Bluetooth Range: ≥10m

Speaker Diameter: 40mm

Playtime: Up to 65 hours

Charging Port: Type-C",
oraimo PowerNova QF1 Power Bank (OPB-7270Q),Power Banks,JNE-OPB7270Q-967,OPB-7270Q,86940,10,"SPECS
PowerNova QF1 -OPB-7270Q(Power Bank)
Capacity: 27000mAh (99.9Wh); Input 1(ype-C): 5V=3A; 9V==2.22A; 12V= 1.67A;
Output 1/2(USB-A): 5V=3A; 9V=2.22A;12V=1.67A;10V=2.25A; Output 3(Type-C): 5V=3A;9V-2.22A: 12V-1.67A: 10V-2.25A",
oraimo MagPower 15 Wireless Power Bank (OPB-7102W),Power Banks,JNE-OPB7102W-452,OPB-7102W,93150,10,"SPECS
Capacity/Energy: 10000mAh/36Wh;
Input 1 (Type-C): 5V = 3A; 9V = 2.222A; 12V ==1.67A;
Output 1(USB-A): 5V = 3A; 9V = 2.22A; 12V = 1.67A; 10V = 2.25A;
Output 2(Type-C): 5V = 3A; 9V = 2.22A; 12V = 1.67A; 10V = 2.25A;
Wireless Output: 5W/7.5W/10W/15W;
Total Output:15W(Max);",
oraimo Necklace 5 Earbuds (OEB-611),Headphones & Earbuds,JNE-OEB611-718,OEB-611,93150,10,"SPECS
Necklace 5-0EB-611(Neckband Wireless Earphone)
Bluetooth Version: V5.4; Wireless Range: 10m;
Battery Capacity: 260mAh;
Playtime: Up to 40 hours (ANC OFF); Up to 28 hours (ANC ON);
Charging Input: Type-C;",
oraimo SmartTrimmer 2 Pro (OTR-280),Personal Care Appliances,JNE-OTR280-370,OTR-280,93150,10,"SPECS
Input: DC 5V 1A
Rated Power: 5W
Charging Time: 2 Hours
Run Time: Up to 2.5 Hours
Battery Capacity: 1200mAh",
"oraimo SpaceBuds Z Earbuds (OTW-625, Black)",Headphones & Earbuds,JNE-OTW625BL-926,OTW-625 BLACK,99360,10,"SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime:
Up to 10 hours; the case provides additional 28 hours. (ANC OFF)
Up to 8.5 hours; the case provides additional 23.5 hours. (ANC ON)
Case Input:  Type-C",
"oraimo OpenSnap Earbuds (OPN-373, Gravity Black)",Headphones & Earbuds,JNE-OPN373GR-144,OPN-373 GRAVITY BLACK,99360,10,"SPECS
Bluetooth Version: V5.4;
Range: 10m;
Playtime: Up to 6 hours, the case provides additional 20 hours;
Case Input: Type-C
*oraimo Lab test results",
"oraimo SpaceBuds Z Earbuds (OTW-625, Light)",Headphones & Earbuds,JNE-OTW625LI-847,OTW-625 LIGHT,99360,10,"oraimo SpaceBuds Z Earbuds (OTW-625, Light) — Clarity in every beat spacebuds z. SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime:
Up to 10 hours; the case provides additional 28 hours. (ANC OFF)
Up to 8.5 hours; the case provides additional 23.5 hours. (ANC ON)",
"oraimo BoomPop2S Headphones (OHP-610S, Nebula Blue)",Headphones & Earbuds,JNE-OHP610SN-570,OHP-610S NEBULA BLUE,105570,10,"Head Phones. SPECS
Bluetooth Version: 5.3
Bluetooth Range: ≥10m
Speaker Diameter: 40mm
Battery Capacity: 500mAh
Playtime: Up to 50 hours
Charging Time: 1.5 hours
Supported Format: Mic Support / Aux-in Mode / Type-C
Model: OHP-610S",
Oraimo OHP-201A,Headphones & Earbuds,JNE-OHP201A-649,OHP-201A,105570,10,"oraimo SmartCooker electric cooker (OHP-201A) - 3L capacity multi-purpose electric pot, 1000W rated power, 304 stainless-steel steamer insert, dual-layer insulated body, transparent lid, anti-scald handles, detachable power cord.",
oraimo Watch Nova R Smartwatch (OSW-821N),Smart Watches,JNE-OSW821N-227,OSW-821N,124200,10,"SMART WATCHSPECS
Screen Size: 1.39"" TFT 360*360
Bluetooth Version: V5.3
Battery Capacity: 300mAh
Battery Type: Lithium Polymer Battery
Charging Time: 3 hours
Standby Time: 40 days
Using Time: Up to 12 days
Watch Size: 50.3*39.4*13.1mm (without strap)
Weight: 42.7g (with strap)
Material: ABS/PC/Silicone",
Oraimo OCW-7652U+116CC Charger Kit UK,Charges & Cables,JNE-OCW7652U-487,OCW-7652U+116CC,124200,10,"oraimo HyperGaN 65 charger kit (OCW-7652U+116CC) - 65W GaN wall charger (one USB-C port up to 65W, one USB-A port up to 65W shared, USB total 65W max) bundled with a 100W Type-C to Type-C cable; supports PD/QC/laptop charging, 9-layer safety protection.",
oraimo SmartClipper 2 Gold Hair Clipper (OPC-CL30G),Personal Care Appliances,JNE-OPCCL30G-180,OPC-CL30G,136620,10,"SPECS
Size: 195*54*42.5mm
Product Material: ABS+PC
Rated Voltage: 5V
Rated Power: 10W
Blade Material: Stainless steel, graphene coated
Charging Time: 2 hours
Full Working time: Up to 3 hours",
Oraimo OH-PB1N Blender (Black),Home Appliances,JNE-OHPB1N-665,OH-PB1N,136620,10,"oraimo SmartBlender Go portable blender (OH-PB1N) - 500ml Tritan cup, 75W motor, 304 stainless-steel ice-crushing blades, dual 2000mAh batteries (4000mAh total, ~8-10 blends/charge), USB-C recharging, self-clean function, IPX5 water resistance.",
